<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019-10-14	13:03:00	104880	104880	104880	104880	3	3	5
2019-10-14	13:04:00	104870	104870	104840	104865	18	49	5
2019-10-14	13:05:00	104910	104915	104905	104905	5	10	5
2019-10-14	13:06:00	104920	104920	104920	104920	1	1	5
2019-10-14	13:07:00	104925	104925	104915	104915	2	2	5
2019-10-14	13:08:00	104930	104930	104930	104930	1	1	5
2019-10-14	13:10:00	104890	104890	104890	104890	1	1	5
2019-10-14	13:11:00	104865	104865	104835	104835	13	21	5
2019-10-14	13:12:00	104885	104885	104885	104885	1	1	5
2019-10-14	13:13:00	104915	104915	104915	104915	1	1	5
2019-10-14	13:16:00	104900	104910	104900	104910	3	3	5
2019-10-14	13:18:00	104900	104900	104900	104900	1	2	5
2019-10-14	13:19:00	104900	104900	104900	104900	1	2	5
2019-10-14	13:20:00	104870	104870	104870	104870	1	1	5
2019-10-14	13:21:00	104825	104825	104800	104815	17	22	5
2019-10-14	13:22:00	104835	104835	104835	104835	1	1	5
2019-10-14	13:23:00	104825	104865	104820	104865	14	26	5
2019-10-14	13:24:00	104855	104855	104830	104850	19	56	5
2019-10-14	13:25:00	104880	104880	104865	104865	2	2	5
2019-10-14	13:26:00	104860	104860	104860	104860	2	2	5
2019-10-14	13:27:00	104895	104895	104895	104895	2	6	5
2019-10-14	13:28:00	104895	104895	104870	104870	4	5	5
2019-10-14	13:30:00	104900	104900	104895	104900	5	5	5
2019-10-14	13:31:00	104920	104965	104920	104965	10	39	5
2019-10-14	13:32:00	104995	105000	104995	105000	6	12	5
2019-10-14	13:33:00	105000	105000	104995	104995	2	2	5
2019-10-14	13:34:00	105020	105020	105020	105020	1	1	5
2019-10-14	13:35:00	105025	105025	105025	105025	2	4	5
2019-10-14	13:36:00	104995	105075	104995	105065	12	73	5
2019-10-14	13:37:00	105060	105060	105025	105025	4	4	5
2019-10-14	13:40:00	104995	104995	104995	104995	2	2	5
2019-10-14	13:43:00	104960	104960	104945	104960	4	4	5
2019-10-14	13:44:00	104960	104960	104960	104960	1	1	5
2019-10-14	13:46:00	104960	104960	104960	104960	4	8	5
2019-10-14	13:48:00	104965	104965	104965	104965	1	1	5
2019-10-14	13:49:00	104950	104950	104930	104930	4	4	5
2019-10-14	13:50:00	104930	104930	104925	104925	2	5	5
2019-10-14	13:52:00	104960	104960	104960	104960	1	1	5
2019-10-14	13:54:00	104935	104935	104935	104935	2	2	5
2019-10-14	13:55:00	104925	104935	104920	104935	10	12	5
2019-10-14	13:56:00	104910	104910	104850	104875	11	16	5
2019-10-14	13:58:00	104870	104870	104870	104870	1	1	5
2019-10-14	14:00:00	104865	104865	104845	104845	16	100	5
2019-10-14	14:01:00	104850	104850	104850	104850	1	1	5
2019-10-14	14:02:00	104875	104875	104830	104845	15	35	5
2019-10-14	14:03:00	104830	104840	104780	104780	40	213	5
2019-10-14	14:04:00	104795	104820	104795	104820	4	6	5
2019-10-14	14:05:00	104795	104795	104790	104790	2	2	5
2019-10-14	14:06:00	104805	104820	104805	104820	2	2	5
2019-10-14	14:08:00	104820	104820	104820	104820	8	33	5
2019-10-14	14:09:00	104800	104800	104800	104800	2	2	5
2019-10-14	14:10:00	104775	104775	104725	104740	15	23	5
2019-10-14	14:11:00	104790	104790	104790	104790	1	1	5
2019-10-14	14:13:00	104765	104785	104765	104785	2	2	5
2019-10-14	14:14:00	104790	104790	104770	104790	14	20	5
2019-10-14	14:16:00	104740	104740	104740	104740	1	1	5
2019-10-14	14:17:00	104740	104755	104700	104700	22	78	5
2019-10-14	14:18:00	104700	104705	104700	104705	4	8	5
2019-10-14	14:19:00	104740	104740	104720	104720	5	13	5
2019-10-14	14:20:00	104710	104735	104710	104735	2	3	5
2019-10-14	14:21:00	104730	104730	104695	104710	5	9	5
2019-10-14	14:22:00	104695	104720	104695	104720	19	47	5
2019-10-14	14:23:00	104695	104720	104695	104700	6	10	5
2019-10-14	14:24:00	104710	104710	104685	104700	14	47	5
2019-10-14	14:25:00	104690	104710	104690	104710	7	12	5
2019-10-14	14:26:00	104680	104690	104670	104690	8	15	5
2019-10-14	14:27:00	104705	104750	104705	104740	14	33	5
2019-10-14	14:28:00	104790	104830	104790	104830	27	122	5
2019-10-14	14:29:00	104820	104820	104785	104805	15	23	5
2019-10-14	14:30:00	104820	104820	104750	104750	26	108	5
2019-10-14	14:31:00	104745	104750	104745	104750	6	14	5
2019-10-14	14:32:00	104755	104755	104755	104755	2	2	5
2019-10-14	14:33:00	104760	104785	104755	104785	5	11	5
2019-10-14	14:34:00	104795	104795	104790	104790	2	6	5
2019-10-14	14:35:00	104755	104780	104755	104780	4	11	5
2019-10-14	14:36:00	104785	104785	104785	104785	1	1	5
2019-10-14	14:38:00	104740	104895	104740	104850	37	152	5
2019-10-14	14:39:00	104845	104870	104845	104870	15	26	5
2019-10-14	14:40:00	104870	104870	104860	104860	3	3	5
2019-10-14	14:41:00	104860	104900	104860	104900	6	18	5
2019-10-14	14:42:00	104915	104935	104915	104935	9	16	5
2019-10-14	14:43:00	104920	104920	104900	104900	2	2	5
2019-10-14	14:44:00	104880	104880	104880	104880	1	1	5
2019-10-14	14:45:00	104880	104930	104880	104915	24	112	5
2019-10-14	14:46:00	104900	104900	104900	104900	1	1	5
2019-10-14	14:47:00	104895	104900	104850	104850	10	65	5
2019-10-14	14:48:00	104870	104870	104870	104870	1	5	5
2019-10-14	14:49:00	104870	104900	104870	104895	6	17	5
2019-10-14	14:50:00	104935	104935	104930	104930	3	6	5
2019-10-14	14:51:00	104915	104915	104915	104915	1	1	5
2019-10-14	14:52:00	104875	104900	104875	104895	4	8	5
2019-10-14	14:53:00	104880	104880	104880	104880	1	1	5
2019-10-14	14:54:00	104915	104985	104915	104975	10	77	5
2019-10-14	14:55:00	104970	104970	104970	104970	1	1	5
2019-10-14	14:56:00	104950	105000	104950	104975	24	55	5
2019-10-14	14:57:00	104965	104965	104960	104960	4	26	5
2019-10-14	14:58:00	104960	104960	104950	104950	4	12	5
2019-10-14	14:59:00	104920	104975	104805	104960	54	139	5
2019-10-14	15:00:00	104960	104995	104955	104955	12	49	5
2019-10-14	15:01:00	104930	104930	104920	104920	7	11	5
2019-10-14	15:02:00	104940	104940	104940	104940	5	10	5
2019-10-14	15:04:00	104930	104950	104900	104900	10	16	5
2019-10-14	15:05:00	104895	104895	104890	104890	6	10	5
2019-10-14	15:06:00	104910	104910	104910	104910	2	5	5
2019-10-14	15:07:00	104895	104920	104895	104920	2	10	5
2019-10-14	15:08:00	104955	104980	104920	104920	26	100	5
2019-10-14	15:09:00	104920	104920	104920	104920	1	1	5
2019-10-14	15:10:00	104920	104920	104920	104920	2	2	5
2019-10-14	15:11:00	104900	104900	104900	104900	1	1	5
2019-10-14	15:14:00	104920	104930	104920	104930	7	11	5
2019-10-14	15:15:00	104940	104940	104925	104925	2	2	5
2019-10-14	15:16:00	104910	104910	104910	104910	1	1	5
2019-10-14	15:17:00	104895	104895	104895	104895	1	1	5
2019-10-14	15:20:00	104915	104940	104915	104940	12	21	5
2019-10-14	15:21:00	104905	104905	104900	104900	3	7	5
2019-10-14	15:22:00	104910	104920	104910	104920	4	8	5
2019-10-14	15:24:00	104920	104920	104915	104915	3	7	5
2019-10-14	15:25:00	104895	104895	104840	104840	8	13	5
2019-10-14	15:26:00	104845	104845	104845	104845	2	2	5
2019-10-14	15:27:00	104875	104875	104805	104805	14	121	5
2019-10-14	15:28:00	104800	104870	104800	104865	12	26	5
2019-10-14	15:29:00	104870	104870	104830	104830	13	26	5
2019-10-14	15:32:00	104865	104865	104865	104865	2	2	5
2019-10-14	15:33:00	104870	104870	104870	104870	1	5	5
2019-10-14	15:34:00	104860	104860	104860	104860	2	2	5
2019-10-14	15:36:00	104875	104875	104830	104830	3	4	5
2019-10-14	15:38:00	104830	104840	104825	104840	4	8	5
2019-10-14	15:39:00	104820	104820	104800	104800	3	6	5
2019-10-14	15:40:00	104805	104815	104805	104815	2	2	5
2019-10-14	15:41:00	104795	104795	104790	104790	11	52	5
2019-10-14	15:42:00	104835	104835	104835	104835	1	1	5
2019-10-14	15:43:00	104850	104970	104850	104905	12	18	5
2019-10-14	15:44:00	104925	104925	104915	104915	3	3	5
2019-10-14	15:45:00	104915	104915	104910	104910	2	4	5
2019-10-14	15:51:00	104860	104860	104860	104860	1	1	5
2019-10-14	15:52:00	104870	104870	104865	104865	4	10	5
2019-10-14	15:53:00	104870	104870	104870	104870	1	4	5
2019-10-14	15:54:00	104870	104870	104870	104870	1	1	5
2019-10-14	15:58:00	104900	104930	104900	104930	5	6	5
2019-10-14	15:59:00	104900	104900	104885	104885	2	2	5
2019-10-14	16:00:00	104885	104885	104885	104885	1	1	5
2019-10-14	16:01:00	104905	104905	104905	104905	1	1	5
2019-10-14	16:02:00	104895	104895	104895	104895	2	5	5
2019-10-14	16:03:00	104885	104910	104885	104910	2	2	5
2019-10-14	16:04:00	104890	104890	104890	104890	1	1	5
2019-10-14	16:05:00	104890	104890	104890	104890	3	6	5
2019-10-14	16:06:00	104915	104930	104915	104930	5	6	5
2019-10-14	16:07:00	104940	104950	104925	104925	10	17	5
2019-10-14	16:08:00	104975	104975	104945	104950	7	19	5
2019-10-14	16:09:00	104980	104995	104980	104995	12	22	5
2019-10-14	16:10:00	104995	105100	104995	105080	47	153	5
2019-10-14	16:11:00	105070	105090	105055	105055	10	16	5
2019-10-14	16:12:00	105085	105090	105085	105090	7	16	5
2019-10-14	16:13:00	105060	105060	105030	105030	14	24	5
2019-10-14	16:14:00	105030	105030	105015	105020	5	13	5
2019-10-14	16:15:00	105040	105060	105040	105060	3	7	5
2019-10-14	16:16:00	105070	105070	105070	105070	1	1	5
2019-10-14	16:17:00	105065	105065	105065	105065	1	1	5
2019-10-14	16:18:00	105090	105090	105070	105070	6	13	5
2019-10-14	16:20:00	105100	105105	105075	105075	10	11	5
2019-10-14	16:22:00	105100	105100	105100	105100	1	1	5
2019-10-14	16:23:00	105070	105070	105070	105070	3	3	5
2019-10-14	16:24:00	105070	105070	105070	105070	3	3	5
2019-10-14	16:25:00	105070	105070	105070	105070	3	3	5
2019-10-14	16:26:00	105070	105070	105030	105030	6	7	5
2019-10-14	16:27:00	105065	105065	105065	105065	3	5	5
2019-10-14	16:28:00	105050	105065	105040	105040	6	11	5
2019-10-14	16:29:00	105050	105050	105050	105050	1	1	5
2019-10-14	16:31:00	105050	105050	105035	105040	3	3	5
2019-10-14	16:32:00	105000	105005	105000	105000	22	73	5
2019-10-14	16:33:00	105025	105025	104965	104965	8	11	5
2019-10-14	16:34:00	105000	105010	104995	104995	3	3	5
2019-10-14	16:35:00	104975	104985	104970	104985	5	5	5
2019-10-14	16:36:00	105000	105010	105000	105010	4	8	5
2019-10-14	16:37:00	105005	105005	105000	105000	3	3	5
2019-10-14	16:38:00	104995	105010	104995	105010	6	21	5
2019-10-14	16:39:00	105010	105020	104990	104990	8	22	5
2019-10-14	16:40:00	104965	104965	104955	104955	4	4	5
2019-10-14	16:41:00	104975	104980	104975	104980	6	22	5
2019-10-14	16:42:00	104955	104975	104950	104950	10	21	5
2019-10-14	16:43:00	104955	104955	104955	104955	1	5	5
2019-10-14	16:44:00	104975	104975	104965	104975	4	8	5
2019-10-14	16:45:00	104965	104975	104960	104960	5	5	5
2019-10-14	16:46:00	104950	104960	104940	104940	8	11	5
2019-10-14	16:48:00	104970	104990	104970	104990	5	9	5
2019-10-14	16:49:00	104960	104960	104960	104960	2	2	5
2019-10-14	16:50:00	104965	105000	104960	105000	36	151	5
2019-10-14	16:51:00	105000	105000	104995	104995	6	31	5
2019-10-14	16:52:00	105000	105025	105000	105025	3	3	5
2019-10-14	16:53:00	105035	105090	105035	105050	14	74	5
2019-10-14	16:54:00	105045	105050	105045	105050	3	3	5
2019-10-14	16:55:00	105040	105070	105040	105070	9	16	5
2019-10-14	16:56:00	105095	105155	105095	105105	39	160	5
2019-10-14	16:58:00	105090	105100	105080	105100	12	38	5
2019-10-14	16:59:00	105105	105105	105080	105105	26	51	5
2019-10-14	17:00:00	105085	105085	105085	105085	1	1	5
2019-10-14	17:01:00	105075	105095	105075	105085	7	19	5
2019-10-14	17:02:00	105080	105095	105070	105080	15	29	5
2019-10-14	17:03:00	105075	105075	105070	105070	3	7	5
2019-10-14	17:04:00	105080	105080	105080	105080	1	1	5
2019-10-14	17:05:00	105075	105095	105075	105085	10	18	5
2019-10-14	17:06:00	105090	105090	105090	105090	1	1	5
2019-10-14	17:07:00	105085	105095	105085	105085	3	11	5
2019-10-14	17:08:00	105095	105095	105080	105095	7	15	5
2019-10-14	17:09:00	105085	105090	105085	105090	6	22	5
2019-10-14	17:10:00	105080	105110	105080	105110	13	23	5
2019-10-14	17:11:00	105110	105110	105100	105100	2	2	5
2019-10-14	17:12:00	105115	105130	105110	105110	8	10	5
2019-10-14	17:13:00	105130	105130	105120	105125	7	7	5
2019-10-14	17:14:00	105135	105145	105110	105110	10	15	5
2019-10-14	17:15:00	105110	105110	105095	105095	12	21	5
2019-10-14	17:16:00	105115	105115	105115	105115	3	3	5
2019-10-14	17:17:00	105130	105135	105120	105125	5	5	5
2019-10-14	17:18:00	105120	105120	105120	105120	2	3	5
2019-10-14	17:19:00	105110	105110	105100	105100	8	10	5
2019-10-14	17:20:00	105115	105115	105105	105105	8	8	5
2019-10-14	17:21:00	105100	105100	105095	105095	4	19	5
